txt,Text
smil,"Synchronized Multimedia Integration Language"
smk,"Compressed File (Smacker)"
smm,"Macro (Ami Pro)"
smp,"Sample (sound file)"
sms,"Microsoft Package Definition"
smt,"Text file (Smart Ware II)"
smtmp,"SMTMP Virus"
snd,"Digitized sound file (Macintosh/ATARI/PC)"
sng,"Song (midi sound) (Midisoft Studio - Prism)"
snm,"Netscape mail"
sno,"Snobol4 source code"
snp,"CoffeeCup HTML Editor Snippet"
snx,"Mirage Microdrive Snapshot Extended Version"
so,"Apache Module"
sol,"Flash shared object"
som,"Network serial numbers (Quattro Pro)"
son,"Song (SBStudio II)"
sou,"Sound data (sound tool)"
sp,"Compressed file archive created by SPLINT (unix)"
spa,"Macromedia FutureSplash"
spc,"Program (MS Multiplan)"
spd,"Scalable font (Speedo) (Harvard Graphics 3.0)"
spf,"Slide presentation file (EnerGraphics)"
spg,"Glossary (Sprint)"
spi,"InConSoft Ltd. Sim-Path system files"
spl,"Compressed file archive created by SPLINT (splint.arc)"
spm,"Data (WordPerfect) wp{wp}.spm"
spo,"Statistical Program (SPSS)"
spp,"Printer file (Sprint)"
spr,"Document letter (Sprint)"
sps,"Spssx source code file (VAX/VMS)"
spt,"Spitbol source code"
spv,"InConSoft Ltd Sim-Path vehicle"
spw,"Worksheet (SigmaPlot)"
spx,"Compiled screen program (FoxPro)"
sql,"SQL report or query"
sqlite,"SQLite Database"
sqm,"Service Quality Monitoring"
sqz,"Compressed file archive created by SQUEEZE (sqz1083e.exe)"
src,"Source (DataFlex)"
srf,"Sun Raster File graphics"
srp,"Script (QuickLink)"
srt,"BSplayer Subtitle"
ss,"Bitmap graphics (Splash)"
ssa,Subtitles
ssb,"SmartSync Pro"
ssd,"Datafile (SAS/PC)"
ssf,Snagit
ssm,"RealPlayer Standard Streaming Metafile"
ssp,"Datafile (SAS Transport)"
st,"Smalltalk source code file (Little Smalltalk)"
st3,"MIDI Karaoke"
sta,"Adobe Photoshop Match Colour Image Statistics"
stb,"Stub library (Genus GX Kernel)"
std,"State Transition Diagram graphic file (Prosa)"
stf,"Compressed file archive created by SHRINKTOFIT"
stg,"ActiveSync (Microsoft) Backup"
stl,"C++ Standard Template Library"
stm,"State Transition Diagram model file (Prosa)"
stn,"ArcView Geocoding Standardization"
sto,"Pascal stub OBJ file (Genus GX Kernel)"
stp,"Sharepoint Web Site Template"
str,"Structure list object file (dBASE Application Generator)"
sts,"Project status info (MS C/C++)"
stt,"Automap Template"
stu,"Tarantella Enterprise 3 3270 Emulator Style"
stw,"Data file (SmartTerm for Windows)"
stx,"Electronic book (SmarText)"
sty,"Style library or sheet (many text and graphics programs)"
sub,"CloneCd related"
sui,"Suit library (Simple User Interface Toolkit)"
sum,Summary
sun,"Sun rasterfile graphics"
sup,"Supplementary dictionary (WordPerfect for Win)"
sv4,"RollerCoaster Tycoon Saved Game"
svd,"Autosave file for document (MS Word)"
svg,"Autosave file for glossary (MS Word)"
svgz,"Compressed Scaleable Graphic"
svp,"WISCO Survey Power"
svs,"Autosave file for style sheet (MS Word)"
sw,"Audio file (signed word)"
swd,Storybook
swf,"ShockWave Flash object"
swg,"Swag packet (SWAG Reader)"
swi,"Swish Data"
swk,"Swapkeys Keyboard"
swp,"Document backup (Sprint)"
sxc,"StarOffice / OpenOffice Spreadsheet"
sxw,"OpenOffice.org Writer 6.0 text"
sy1,"Smartpix symbol library (Ami Pro)"
sy3,"Symbol file (Harvard Graphics 3.0)"
syd,"Backup of startup files created by QEMM (?) autoexec.syd"
sym,"Precompiled headers (Borland C++)"
syn,"Sdsc Synu image file (SDSC Image Tool)"
sys,"Datafile (SYGRAPH - SYSTAT - SPSS/PC)"
syw,"Graphics symbols (Harvard Graphics Win)"
szc,"Windows Mobile 5 (Pocket PC)"
t,"Tads source"
t$m,"AVG Internet Security Temporary"
t04,"TaxCut 2004"
t05,"TaxCut 2005 Tax Return"
t06,"TaxCut 2006 Tax Return"
t07,"TaxCut 2007 Tax Return"
t08,"TaxCut 2008 Tax Return"
t09,"H&R Block At Home 2009 Tax Return"
t10,"H&R Block At Home 2010 Tax Return"
t11,"H&R Block At Home 2011 Tax Return"
t12,"H&R Block At Home 2012 Tax Return"
t2,"Textease 2000"
t44,"Temporary file for Sort or Index (dBASE IV)"
t64,"Program (C64S emulator)"
ta0,TaxAct
tab,"Guitar Tablature"
tag,"Query tag name (DataFlex)"
tah,"Turbo Assembler Help file (Borland C++)"
tal,"Text illustration (TypeAlign)"
tao,IsoBuster
tax,TurboTax
taz,"Compressed ASCII file - TAR and COMPRESS (.tar.Z)"
tb1,"Font file (Borland Turbo C)"
tb2,"Font file (Borland Turbo C)"
tbf,"Fax (Imavox TurboFax)"
tbh,"Mah Jongg for Windows Tile Set"
tbk,"Memo backup (dBASE IV - FoxPro)"
tbl,"Graphics (native format) (Adobe PageMaker TableEditor)"
tbs,"Text elements ?? (Textbausteine) (MS Word)"
tbx,"Table (Project Scheduler 4)"
tc,"Configuration (Turbo C - Borland C++)"
tch,"Turbo C Help file (Borland C++)"
tcl,"Tool Command Language source code (Swat)"
tcp,"3D Topicscape (exported inter-Topicscape topic link)"
tcw,"Drawing (TurboCAD for Windows)"
td,"Configuration file (Turbo Debugger for DOS)"
td0,"Disk image file (Teledisk)"
td2,"Configuration file (Turbo Debugger for Win32)"
tdb,"Database (TACT)"
tdf,"Font (TheDraw)"
tdh,"Help file (Turbo Debugger)"
tdk,"Keystroke recording file (Turbo Debugger)"
tds,"Symbol table (Turbo Debugger)"
tdt,"ASCII Data File in CSV Format"
tdw,"Configuration file (Turbo Debugger for Windows)"
tee,"TeeChart Office graphic"
tef,"Fax (Relisys TEFAX)"
tel,"Host file (Telnet)"
tem,"Turbo Editor Macro Language script (Borland C++)"
temp,Temporary
test,"Test File Extension"
tex,"LaTeX Source Document"
text,"ASCII Text"
tf,"Configuration (Turbo Profiler)"
tfa,"Area file (Turbo Profiler)"
tfc,"Catalogue file (Tobi's Floppy Cataloguer)"
tfh,"Help file (Turbo Profiler)"
tfm,"Tex Font Metric file (TeX)"
tfs,"Statistics (Turbo Profiler)"
tfw,"ArcView World File For TIF Image"
tg1,"Project file (On Target)"
tga,"Truevision Targa bitmap graphics"
tgz,"Compressed file archive created by TAR and GNUzip (.tar.gz)"
thb,"KinuPix Skin"
thd,Thread
thm,"Thumbnail Image"
thn,"Graphics Workshop for Windows Thumbnail"
ths,"Thesaurus dictionary (WordPerfect for Win)"
tib,"Acronis True Image"
tiff,"Tagged Image File Format"
til,"Fuzzy logic knowledge base (Togai InfraLogic Fuzzy-C Compiler)"
tim,"Playstation Game Texture Image"
tis,"Tile set (MahJongg 3.0)"
tix,"ASA for UNIX Terminfo Extension"
tjl,"Backup file (VAXTPU editor)"
tlb,"OLE Type Library"
tlc,"Compiled Tool Command Language source code (Swat)"
tlp,"Project (TimeLine)"
tlt,"Trellix Web Design"
tmb,"Timbuktu Pro Connection Document"
tmd,"Document (TextMaker)"
tmf,"Tagged Font Metric file (WordPerfect for Win)"
tmo,"Ztg global optimizer default output file (Zortech C++)"
tmp,Temporary
tmpl,"eMule Web Interface Template"
tmq,TestMaster
tms,"Script (Telemate)"
tmv,"Template (TextMaker)"
toc,"Table Of Contents"
tol,"Kodak Photoenhancer"
topc,"TopicCrunch project file"
tos,"Self-extracting file archive (Atari ST)"
tp,"Configuration (Turbo Pascal)"
tp3,"Template (Harvard Graphics 3.0)"
tpb,"Downloadable PCL Soft font file backup (HiJaak)"
tpf,"Downloadable PCL Soft font file (HiJaak)"
tph,"Help file (Turbo Pascal)"
tpi,"Microsoft Test"
tpl,"Document Template"
tpp,"Protected Mode Units (Borland Pascal 7.0)"
tps,"Clarion for Windows data"
tpu,"Turbo Pascal Unit (BGI) (Turbo Pascal)"
tpw,"Session-state file (Turbo Profiler for Windows)"
tpz,"Compressed file archive created by TAR and GNUzip (.tar.gz)"
tr,"Session-state settings (Turbo Debugger for DOS)"
tr2,"Session-state settings (Turbo Debugger for Win32)"
trace,"ECXpert Debugging"
trc,"Debug support file (Power CTrace)"
tre,"Directory tree file (PC-Tools)"
trg,"Symantec LiveUpdate"
tri,Trigram
trk,"Kermit Script"
trm,"Terminal settings (Windows 3.x)"
trn,"Translation support file (Quattro)"
trp,Tripmaker
trs,"Executable file (Micrografx)"
trw,"Session-state settings (Turbo Debugger for Windows)"
trx,"Router Firmware"
ts,"Transport Stream"
tsk,"Skins for Pocket PC PDAs"
tsp,"Windows Telephony Service Provider"
tst,"Printer test file (WordPerfect for Win)"
tsv,"Tab Separated Value"
tt10,"Turbotax 2010 Return"
tta,"The True Audio Codec"
ttc,"OpenType font"
ttf,"Truetype Font"
tub,"PaintShop Pro Tube"
tut,Tutorial
tv,"Table view settings (Paradox)"
tv1,"Overflow file - WordPerfect"
tv2,"Overflow file - WordPerfect"
tv3,"Overflow file - WordPerfect"
tv4,"Overflow file - WordPerfect"
tv5,"Overflow file - WordPerfect"
tv6,"Overflow file - WordPerfect"
tv7,"Overflow file - WordPerfect"
tv8,"Overflow file - WordPerfect"
tv9,"Overflow file - WordPerfect"
tvf,"Table view settings (dBASE)"
tvo,TeveoLive
tvp,"NVIDIA Graphic Card Update"
tvr,"Navicat for MySQL"
tvt,RealPlayer
txd,"Grand Theft Auto 3 Texture"
txf,"Compressed file archive created by TAR and FREEZE (.tar.f)"
txi,"Support file (TeX)"
txl,"Genesis3D Texture"
tym,"Time Stamp (PageMaker 4)"
tz,"Compressed file - TAR and COMPRESS (.tar.Z)"
tzb,"Compressed file - TAR - COMPRESS - BTOA (.tar.Z.btoa)"
uax,"Unreal Audio"
ub,"Audio file (unsigned byte)"
uc2,"Compressed file archive created by UltraCompressor II (uc2.zip)"
ucn,"New compressed file archive created by UltraCompressor II"
ucs,"Universal Classification Standard Database"
udc,"Acrobat Spelling"
udf,"Filter (Photostyler)"
udl,"MS Data Link"
uds,"Sierra Generations Family"
ue2,"Encrypted file archive created by UltraCompressor II"
ufo,"Ulead PhotoImpact Graphic"
uha,"UHARC Compressed Archive"
uhs,"Universal Hint System (binary file)"
ui,"Espire source code file (Geoworks UI Compiler)"
uif,"MagicISO Disc Image"
uih,"Espire header file (Geoworks UI Compiler)"
uis,"WindowBlinds (Copyright Neil Banfield & Stardock.net, Inc.)"
ul,"Ulaw audio"
uld,"Information about uploaded files (Procomm Plus)"
ult,"Music (UltraTracker)"
umb,"Backup file (MemMaker)"
umd,"Universal Media Disc"
umf,"Stockmoves, MOTEK BV"
umx,"Unreal music"
uni,"Unimod music module (MIKMOD)"
unl,"Garmin Unlock"
unq,"Fax View"
uns2,"Ultra Notes Backup"
unx,"Text file containing UNIX specific info"
upd,"Program update info"
upg,"Firmware Upgrade"
upo,"Compiled update data (dBASE)"
upx,"ULead Photo Express Saved Image"
url,"Uniform Resource Locator (Internet shortcut)"
urls,"GetRight URL List"
usb,"D-Link FM Radio Update"
user,"Visual Studio User Options"
usp,"Printer font with USASCII extended character set (PageMaker)"
usr,"User database file (Procomm Plus - Turbo C++ tour)"
utf,"AOL Updating Files"
utl,Sound
utx,"Unreal Engine Texture"
uu,"Compressed ASCII - UUDE/ENCODE"
uue,"Compressed ASCII - UUENCODE"
uvf,"CSV (comma separated value) format. Used by Netica"
uvr,"Ulead Cool 360 Viewer"
uw,"Audio file (unsigned word)"
uwl,"WordPerfect User Word List"
v,"Consistency check support file (ReaGeniX code generator)"
v2,"Microsoft Live Messenger data"
v64,"Nintento 64 Emulation ROM Image"
val,"Validity checks and referential integrity (Paradox for Windows)"
van,"Animation (VistaPro)"
var,"Variable file (IconAuthor)"
vbc,"Visual Business Cards"
vbd,ActiveX
vbe,"VBScript Encoded Script"
vbn,"Norton Corporate anti-virus quarantined"
vbp,"Visual Basic Project"
vbs,"Visual Basic Script file (Visual Basic)"
vbw,"Visual Basic Project Workplace (Visual Basic)"
vbx,"Visual Basic eXtension (Visual Basic)"
vc,"Include file with color definitions (Vivid 2.0)"
vc4,"Virtual CD/DVD Image"
vcd,"VisualCADD Drawing"
vce,"Visual CE Class Type"
vcf,VCard
vch,"Interlock Public Computer Utility"
vcmf,"VAIO Content Metadata"
vcs,vCalender
vcw,"Visual workbench information (MS Visual C++)"
vcx,"Spreatsheet (VisiCalc Advanced)"
vda,"Bitmap graphics"
vdb,"Norton AntiVirus Corporate Edition Update"
vdf,"Avira AntiVir virus definition"
vdi,"Virtual Disk Images files"
vdj,"Virtual DJ Sample"
vdm,"VDM Play"
vdr,"Drawing (ComputerEasy Draw)"
vdx,"XML for Visio Drawing"
vem,"VeePro Embroidery Software Format"
ver,"Version Description"
vew,"View file (Clipper 5, Lotus Approach)"
vfm,"Voting Form (Voter)"
vfn,"Voting Form for Customers (Voter)"
vfp,"TMPGEnc VFAPI Plug-in"
vfs,"Virtual File System Index"
vfx,"Ulead Video Studio Sample"
vga,"Vga display driver"
vgd,"Vga display driver (Generic CADD)"
vgr,"Graphics (Ventura Publisher)"
vhd,"Virtual Hard Disk"
vi,"Graphics (Jovian Logic VI)"
vic,"Vicar graphics"
vid,Video
vif,"Khoros Visualization image file (SDSC Image Tool)"
vik,"Viking graphics"
vir,"Virus Infected"
vis,"Vis graphics"
viv,"VivoActive Player Video"
vlm,Ashlar-Vellum
vlt,"WinVault Container"
vm,"Virtual Memory file (Geoworks)"
vm1,"Panasonic SD Voice Editor"
vmc,"Virtual memory configuration (Acrobat reader)"
vmdk,"VMware Image"
vmf,"Font characteristics (Ventura Publisher)"
vmg,"Text Message files"
vml,"Vector Markup Language"
vmo,"Mobile Phone voice file (Siemens Sl45)"
vmp,"Logos Library System 2.x Verse Map"
vms,"Text file containing VMS specific info"
vmt,"Valve Material file"
vmx,"VMware Configuration"
vnt,vNote
vo,"Include file with object definition (Vivid 2.0)"
vob,"DVD video movie"
voc,"Digitized samples (Creative Voice file)"
vof,"Object folder (VZ Programmer)"
vol,"VOL Archive"
vor,"OpenOffice.org Template"
vox,"Vox Audio"
vp6,"TrueMotion VP6 Video"
vpa,"Excite Chat Gestures"
vpd,"Virpet Performance Descriptor"
vpg,"Graphics (VPGraphics)"
vpk,"Steam Package Archive"
vpl,"Karaoke Player Playlist"
vpp,"Virtual Pool Game"
vqe,"Yamaha Sound-VQ Locator"
vqf,"Yamaha Sound-VQ"
vql,"Yamaha Sound-VQ Locator"
vrd,"VRScape data"
vrm,"Overlay file (QuattroPro)"
vro,"Panasonic DVD Recorder"
vrp,"Project (WATCOM VX?Rexx)"
vrs,"Video Resource eg. video device driver (WordPerfect)"
vs,"Include file with surface definition (Vivid 2.0)"
vsd,"Diagram (Shapeware Visio)"
vsl,"GetRight Download List"
vsm,"Simulation model (VisSim)"
vsp,"Visual Studio"
vss,"Smartshapes file (Shapeware Visio)"
vst,"Truevision Vista bitmap graphics"
vtf,"Valve Texture file. Used to store texture data"
vts,"DVD File format"
vtx,"XML for Visio template"
vue,"Animation (3D Studio)"
vw,"Text file (Volkswriter)"
vw3,"Text file (Volkswriter 3)"
vwl,"VideoWave Video Wave Library"
vwr,"File viewer file (PC Tools)"
vwt,"VideoWave Thumbnail"
vxd,"Virtual device driver (MS Windows)"
vyd,VyperHelp
w,"Database AppBuilder Source Code"
w02,"Multiple Archive"
w30,"Printer font (AST TurboLaser) (Ventura Publisher)"
w31,"Startup file (Windows 3.1)"
w3g,"Warcraft III"
w3m,"Warcraft III Map"
w44,"Temporary file for Sort or Index (dBASE)"
w5v,Winamp
wab,Outlook
wac,"Infinity Game Engine WAVC Sound"
wad,"Doom Game"
waf,"Mayim's WAF Compiler"
wal,"Winamp Skin"
war,"Java Web Archive (used by Servlets)"
wax,"Windows Media Player Redirect"
wb1,"Notebook (Quattro Pro)"
wb2,"Spreadsheet (Quattro Pro)"
wb3,"Quattro Pro for Windows"
wba,"WindowBlinds Compressed Skin"
wbc,"Webshots Picture Collection"
wbf,"Ms Windows Batch File (Catch)"
wbk,"Document/workbook (WordPerfect for Win)"
wbmp,"Wireless Application Protocol Bitmap"
wbt,"Batch file (WinBatch)"
wbx,Webigger
wbz,WebShots
wcd,"Macro token list (WordPerfect for Win)"
wcm,"Data transmission file (MS Works)"
wcp,"Product information description (WordPerfect for Win)"
wd2,"Info Select for Palm Organizer"
wdb,"Database (MS Works)"
wdf,"ReliaSoft Weibull 5.0"
wdl,"Windows XP Watchdog Log"
web,"Web source code"
wer,"Microsoft Windows Error Report"
wfc,"Windows Connect Now"
wfm,"Form object (dBASE Form Designer)"
wfn,"Font (CorelDRAW)"
wfx,"Data file (Winfax)"
wg1,"Worksheet (Lotus 1-2-3/G)"
wg2,"Worksheet (Lotus 1-2-3 for OS/2)"
wgt,"Opera Widget"
wid,"Width table (Ventura Publisher)"
wim,"Image Format"
win,"Opera Saved Window"
wiz,"Page wizard (MS Publisher)"
wjp,"WildTangent Branded .jpg"
wk1,"Spreadsheet (Lotus 1-2-3 version 2.x - Symphony 1.1+)"
wk4,"Spreadsheet (Lotus 1-2-3 version 3.4)"
wkb,"Document (WordPerfect for Win)"
wke,"Spreatsheet (Lotus 1-2-3 educational version)"
wkq,"Spreatsheet (Quattro)"
wll,"Word Add-in"
wlk,"Graphics (Virtus Walkthrough)"
wlt,eWallet
wma,"Microsoft Active Streaming"
wmc,"Backup of startup files by Windows MathCad autoexec.wmc"
wmf,"Windows MetaFile vector graphics"
wml,"Wireless Markup Language"
wmv,"MS Active Streaming"
wmz,"Windows Media Compressed skin"
wn,"Text (NeXT WriteNow)"
wnf,"Outline font description (CorelDRAW native format)"
wo4,STABCAL
wo7,STABCAL
woa,"Swap file (Windows 3.x)"
woc,"Microsoft Office 2007 Organization"
wor,"MapInfo Workspace"
wot,"WebEx Saved Meeting Movie"
wow,"Music (8 channels) (Grave Mod Player)"
wp,"Text file (WordPerfect 4.2)"
wp3,"Microsoft Photo Story Project"
wpf,"Fax (WorldPort)"
wpg,"WildTangent Branded .PNG"
wpj,"MS Works Projects"
wpk,"Macros (WordPerfect for Win)"
wpl,"Windows Media Player Playlist file/td>"
wpm,"Macros (WordPerfect)"
wps,"Text document (MS Works)"
wpt,"WordPerfect template"
wpw,"PerfectWorks document"
wq!,"Compressed spreadsheet (Quattro Pro)"
wq1,"Spreadsheet (Quattro Pro)"
wr1,"Spreadsheet (Symphony 1.1 - 1.2 - 2)"
wrd,"Template (Charisma)"
wrf,"used for WebEx recording. Microsoft office add-in for meeting"
wri,"Text file (Windows Write)"
wrk,"Spreadsheet (Symphony 1.0, 1.2, 2.0, 3.0)"
wrl,"Plain text VRML"
wrml,"Plain text VRML"
wrp,"Compressed Amiga file archive created by WARP"
wrs,"Windows Resource eg. printer driver (WordPerfect for Win)"
ws,"Text file (WordStar 5.0-6.0)"
wsf,"Windows Script"
wss,"Web Screen Saver file (Web Screen Saver 2008)"
ws2,"Text file (WordStar 2000)"
wsc,"Windows scripting component"
wsd,"Document (WordStar)"
wsh,"Windows Script Host Settings"
wsp,"Workspace (Fortran PowerStation)"
wsr,"FirstStop WebSearch"
wst,"Text file (WordStar)"
wsx,"WinMX Filesharing Program"
wsz,"Skin Zip file (WinAmp)"
wtd,"WinTune Document"
wtr,"MS Encarta"
wv,"WavPack compressed Audio"
wve,"Component of a DIVX Movie Conversion"
wvx,Metafile
wvw,"Backup Wonderware InTouch window"
wwb,"Button bar for document window (WordPerfect for Win)"
wwk,"Keyboard layout (WordPerfect for Win)"
wwp,"Worms World Party Teams"
wws,"AutoRoute User Information"
wwv,"WildTangent Branded .WAV"
wxp,"Document (EXP for Windows)"
wxs,"Easy Cross crosstitch"
wzg,WZebra
wzs,"Microsoft Word wizard"
x,"DirectX Object"
x01,"Secondary index (Paradox)"
x02,"Secondary index (Paradox)"
x03,"Secondary index (Paradox)"
x04,"Secondary index (Paradox)"
x05,"Secondary index (Paradox)"
x06,"Secondary index (Paradox)"
x07,"Secondary index (Paradox)"
x08,"Secondary index (Paradox)"
x09,"Secondary index (Paradox)"
x16,"Macromedia Program Extension (16-bit)"
x32,"Macromedia Program Extension (32-bit)"
xap,"Silveright Application Package"
xbel,"XML Bookmark Exchange Language"
xbm,"X11 Bitmap graphics"
xcf,"Gimp Image"
xdf,"Milnta APL Transfer Function"
xdw,"X Windows Screen Dump"
xef,"X-Genics eManager"
xem,"X-Genics eManager"
xep,"X-Genics eManager"
xes,"X-Genics eManager"
xet,"X-Genics eManager"
xev,"X-Genics eManager"
xez,"X-Genics eManager"
xfd,"XML Form in XFDL Format"
xfdl,"Extensible Forms Description Language"
xfn,"Printer font (Xerox 4045) (Ventura Publisher)"
xft,"24 pin printer font (ChiWriter)"
xfx,"Fax File (various)"
xhtml,"Extensible HyperText Markup Language"
xi,"Fast Tracker 2 Instrument or ScreamTracker Instrument"
xif,"Wang image"
xla,"Add-in macro sheet (MS Excel)"
xlb,"Data (MS Excel)"
xlc,"Chart document (MS Excel)"
xlk,"Excel Backup"
xll,"Excel Dynamic Link Library (MS Excel)"
xlm,"Macro sheet (MS Excel)"
xlr,"MS Works"
xlsm,"Microsoft Excel Macro-Enabled Workbook"
xlt,"Template (MS Excel)"
xlw,"Workbook (MS Excel)"
xlx,"XoloX Incomplete Download"
xm,"Music (Fast Tracker)"
xmi,"Compressed eXtended MIdi music"
xml,"Extensible Markup Language"
xmp,"Extensible Metadata Platform"
xnf,"Standard Network File form"
xpi,XPInstall
xnk,"Microsoft Exchange Shortcut"
xpl,Music
xpm,"X11 Pixel Map graphics"
xpr,"Memorex CD-ROM label"
xps,"XML Paper Specification"
xpt,"Mozilla Firefox Component"
xpw,"Leading Market Technologies EXPO"
xqt,"Executable file (Waffle)"
xpv,"digital surveillance system"
xrf,Cross-reference
xsd,"XML Schema"
xsf,"Milnta APL Transfer Function"
xsl,"Extensible Stylesheet Language"
xspf,"XML Shareable Playlist"
xss,"Ability Office Spreadsheet"
xtb,"External translation table (LocoScript)"
xtm,"Xtremsplit Data"
xtr,"MapTool file (an add-on for UI-View)"
xul,"XML User Interface Language"
xvb,"WinExplorer VB Script"
xvid,"Xvid Video"
xvl,"Compact 3D file format for web apps.(Lattice 3D)"
xwd,"X Window System window dump image graphics (SDSC Image Tool)"
xwk,"Keyboard mapping (Crosstalk)"
xwp,"Session (Crosstalk)"
xx,"Compressed file ASCII - XXENCODE"
xxe,"Compressed file ASCII - XXENCODE"
xxx,"Singer Sewing Machine Professional SewWare"
xy,"Text file (XY Write)"
xy3,"Text file (XYWrite III)"
xyw,"Text file (XyWrite III)"
xyz,"ASCII RPG Maker Graphic Format"
xz,"XZ Compressed Archive"
y,"Yacc grammar"
y01,"Secondary index (Paradox)"
y02,"Secondary index (Paradox)"
y03,"Secondary index (Paradox)"
y04,"Secondary index (Paradox)"
y05,"Secondary index (Paradox)"
y06,"Secondary index (Paradox)"
y07,"Secondary index (Paradox)"
y08,"Secondary index (Paradox)"
y09,"Secondary index (Paradox)"
yab,"Yabasic Source Code"
yal,"Data (Arts & Letters)"
ybk,"Microsoft Encarta Yearbook"
ychat,"Yahoo! Messenger chat log"
yenc,yEnc
ymg,"Yahoo! Messenger"
yml,YAML
ync,"yEnc Encoded"
yps,"Yahoo! Messenger Data"
yuv,"YUV Encoded Image or Video"
yz,"Compressed file archive created by YAC"
yz1,"Yamazaki ZIPPER"
z,"Compressed file ASCII archive"
z01,"Winzip Split Archive"
z02,"Split Archive"
z1,"ZoneAlarm Renamed VB"
z3,"Infocom game module"
zap,"Zero Administration Package"
zbd,"Canon ZoomBrowser Database"
zdb,"Zimbra Database"
zdct,"After Effects Language"
zdg,"Compressed ZiffNet text document (Zview)"
zdl,"Design Pro Label"
zdp,"ZDNet Password Pro 32"
zer,"Data file (Zerberus)"
zfx,"ZFX - CC3 File Packer Tool"
zgm,"Graphics (Zenographics)"
zhtml,"Secure IE Zipped HTML"
zi,"Renamed Zip"
zif,"Zooming Image Format"
zipx,"WinZip Compressed"
zix,"Quicken Data"
zl?,"Zone Alarm Mailsafe Renamed File."
zl,"Zlib Compressed"
zls,"Atlantis Ocean Mind Word Processing"
zmc,"ZoneAlarm Mailsafe"
zom,"Compressed Amiga file archive created by ZOOM"
zon,"Grand Theft Auto 3 Zone"
zoo,"Compressed file archive created by ZOO (zoo210.exe)"
zpk,"Z Firm Package"
zpl,"Creative Zen Micro playlist"
zst,"ZSNES Slot 0 Savestate"
ztd,"Ziff Davis Media text database"
zvd,"Zyxel Voicefile (Z-Fax)"
zvz,"Possible Virus"
zxp,"Extension Manager Package"
zz,"Zzip Compressed Archive"
zzt,"ZZT Game Creation System"
!bt,"BitTorrent Incomplete Download"
!qb,"qBittorrent Partial Download"
!ut,"uTorrent Incomplete Download"
#24,"Printer data file for 24 pin matrix printer (LocoScript)"
#ib,"Printer data file (LocoScript)"
#sc,"Printer data file (LocoScript)"
#st,"Standard mode printer definitions (LocoScript)"
$#!,Cryptext
$$$,Temporary
$00,"Pipe file (DOS)"
$01,"Pipe file (DOS)"
$db,"Temporary file (dBASE IV)"
$ed,"Editor temporary file (MS C)"
$er,"GroupWise Database"
$o1,"Pipe file (DOS)"
$vm,"Virtual manager temporary file (Windows 3.x)"
^^^,"Pervasive.SQL Database"
__a,"File Splitter & Joiner Encrypted"
__b,"File Splitter & Joiner Encrypted Archive"
_dd,"Norton Disk Doctor Recovered"
_eml,"Windows Live Mail Email"
_nws,"Windows Live Mail Newsgroup Copy"
_p,"Malicious Software Removal Tool Temporary"
~$~,"Temporary file (1st Reader)"
~ap,"Old AppExpert project database (Borland C++ 4.5)"
~de,"Project backup (Borland C++ 4.5)"
~hm,"HostMonitor TestList Backup"
~mn,"Menu backup (Norton Commander)"
{pb,"Corel WordPerfect Document Index"
000,"Image Data Recovery"
001,"Norton Ghost Span"
075,"75x75 dpi display font (Ventura Publisher)"
085,"85x85 dpi display font (Ventura Publisher)"
091,"91x91 dpi display font (Ventura Publisher)"
096,"96x96 dpi display font (Ventura Publisher)"
0b,"Printer font with lineDraw extended character set (PageMaker)"
0xe,"F-Secure Renamed Virus"
1,"Inno Setup Binary"
10,"IBM Voice Type Script"
113,"Iomega Backup"
123,"Lotus 1-2-3 Spreadsheet"
15u,"Printer font with PI font set (PageMaker)"
1pe,"TurboTax Form"
1ph,TurboTax
1st,"Usually README.1ST text"
2,"Setup Factory 6.0 setup launcher"
264,"Ripped Video Data"
2d,"2d Drawings (VersaCad)"
2da,"2 Dimensional Data Array"
2dl,"2d Libraries (VersaCad)"
3d,"3d Drawings (VersaCad)"
3dl,"3d Libraries (VersaCad)"
3dv,"3D VRML World"
301,"Fax (Super FAX 2000 - Fax-Mail 96)"
386,"Intel 80386 processor driver (Windows 3.x)"
3da,"3D Assembly"
3dd,"ArcGlobe Document"
3dr,"3DMark Benchmark"
3ds,"Graphics (3D Studio)"
3dt,"Database for 3D mind map / concept map (3D Topicscape)"
3fx,"Effect (CorelChart)"
3g2,"3GPP2 file format"
3gp,"3GPP Multimedia"
3gr,"Data file (Windows Video Grabber)"
3ko,"NGRAIN Mobilizer"
3me,"TurboTax Form"
3mm,"3D Movie Maker Movie Project"
3pe,"TurboTax 2008 Form"
3t4,"Binary file converter to ASCII (Util3)"
411,"Sony Mavica Data"
4c$,"Datafile (4Cast/2)"
4dv,"4D View Ultrasound"
4mp,"4-MP3 Database"
4sw,"4dos Swap"
4th,"Forth source code file (ForthCMP - LMI Forth)"
5cr,"Preconfigured drivers for System 5cr and System 5cr Plus"
669,"Music (8 channels) (The 669 Composer)"
6cm,"Music (6 Channel Module) (Triton FastTracker)"
777,"7-Zip compressed file archive"
7z,"7-Zip archiving format"
8,"A86 assembler source code"
8b?,"Adobe Photoshop Plugin"
8ba,"Adobe Photoshop Plugin"
8bf,"Adobe Photoshop Plugin"
8bi,"Adobe Photoshop Plugin"
8cm,"Music (8 Channel Module) (Triton FastTracker)"
